time_s,forward_cm,sideways_cm,forward_speed_cm_s
2.549999999999929656e+00,2.851959424284288502e+02,-1.526905973008538364e+00,1.198750903272257915e+02
2.559999999999928555e+00,2.863788896752740243e+02,-1.580737214234331445e+00,1.167812281615211845e+02
2.569999999999927454e+00,2.875771252849334587e+02,-1.619425215200101187e+00,1.217779446576505507e+02
2.579999999999926352e+00,2.887475772216124597e+02,-1.665606931705647664e+00,1.163403159071568496e+02
2.589999999999925251e+00,2.899578447229273479e+02,-1.690471421857576262e+00,1.203467362422855587e+02
2.599999999999924150e+00,2.911543014461296366e+02,-1.721172530852863147e+00,1.192172078280911478e+02
2.609999999999923048e+00,2.923430915458461641e+02,-1.750689017026451078e+00,1.184646874499512847e+02
2.619999999999921947e+00,2.935275565613811750e+02,-1.781492651096744817e+00,1.184106611682153414e+02
2.629999999999920846e+00,2.947127383477930493e+02,-1.814887082366162918e+00,1.184583553189191889e+02
2.639999999999919744e+00,2.958767462131989987e+02,-1.847616019565113676e+00,1.147101985314818933e+02
2.649999999999918643e+00,2.970390998659275397e+02,-1.886254694068912885e+00,1.167387288280052218e+02
2.659999999999917542e+00,2.982243420704511436e+02,-1.902040705711623758e+00,1.168001272093075755e+02
2.669999999999916440e+00,2.994367030139304120e+02,-1.917391938174480392e+00,1.210965556052409937e+02
2.679999999999915339e+00,3.006493928296280842e+02,-1.933265709270288069e+00,1.214300748225259241e+02
2.689999999999914237e+00,3.018361018606224775e+02,-1.949096109591899495e+00,1.167339415063942880e+02
2.699999999999913136e+00,3.030384203930765921e+02,-1.972122630020905598e+00,1.221457864080664422e+02
2.709999999999912035e+00,3.042425818756240119e+02,-1.998516854577336188e+00,1.210326900175139997e+02
2.719999999999910933e+00,3.054275096403745806e+02,-2.034180445033171747e+00,1.163679687263345244e+02
2.729999999999909832e+00,3.066248414176446317e+02,-2.057529673249707702e+00,1.214446150454138404e+02
2.739999999999908731e+00,3.078222402621818219e+02,-2.081137185772198528e+00,1.207144599063662014e+02
2.749999999999907629e+00,3.090317612465258321e+02,-2.093308958813480114e+00,1.209905082990128307e+02
2.759999999999906528e+00,3.102414319038975918e+02,-2.096966929927513767e+00,1.209159261296392884e+02
2.769999999999905427e+00,3.114291201002463367e+02,-2.098676641816953570e+00,1.169628152913879831e+02
2.779999999999904325e+00,3.126335861402511114e+02,-2.095534118285669489e+00,1.223302256851987835e+02
2.789999999999903224e+00,3.138303502298056742e+02,-2.089112476543539820e+00,1.178175700238729888e+02
2.799999999999902123e+00,3.150540913328404145e+02,-2.078825920865835286e+00,1.225131746707181861e+02
2.809999999999901021e+00,3.162730681443206322e+02,-2.069931972144726018e+00,1.216079017433007863e+02
