time_s,phase,heading_x,heading_y,x_cm,y_cm,vx_cm_s,vy_cm_s
7.640000000000000568e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.611646392460580159e+02,-4.246500095795115044e+02,-1.048421457067371598e+01,-1.231418004373015691e+02
7.650000000000000355e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.610573825383484632e+02,-4.258679404413063594e+02,-1.065453327294184405e+01,-1.213001994342255045e+02
7.660000000000000142e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.609519503889024463e+02,-4.270757261818138204e+02,-1.049076534088275459e+01,-1.203622857978330103e+02
7.669999999999999929e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.608503413489277136e+02,-4.282730740236736438e+02,-1.006398379463958648e+01,-1.196425469597174072e+02
7.679999999999999716e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.607524947920533691e+02,-4.294672022559913103e+02,-9.582721502432486105e+00,-1.191981438201036951e+02
7.690000000000000391e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.606531198467579884e+02,-4.306368822891378159e+02,-1.037654624463096198e+01,-1.151106535807329863e+02
7.700000000000000178e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.605663592657975869e+02,-4.318278049280763753e+02,-7.962140676753720392e+00,-1.211310671376303816e+02
7.709999999999999964e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.604755587647814536e+02,-4.330104447816734137e+02,-9.490506260692777474e+00,-1.164837556730785337e+02
7.719999999999999751e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.603882914193508782e+02,-4.342092086958705295e+02,-8.713425596154454666e+00,-1.205423124983704355e+02
7.730000000000000426e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.602964810154967950e+02,-4.354149054345190848e+02,-9.483995400319660263e+00,-1.204664414805467771e+02
7.740000000000000213e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.601993162587411916e+02,-4.366212174378118220e+02,-9.921721261902417766e+00,-1.207263763114331709e+02
7.750000000000000000e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.600994036330335462e+02,-4.378276091744032215e+02,-1.022133382731120399e+01,-1.204673086560033255e+02
